# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3] c_2[4] c_2[5] c_2[6] c_2[7] c_2[8] c_2[9] c_2[10] c_2[11]
8000000 250
75 4.47 0.551603 6.14121 0.665098 6.83929 1.05228 5.62115 0.373227 2.36728 0.644117 4.09143
76 4.53 0.548137 6.29397 0.681272 7.02884 1.10525 5.92849 0.348514 2.46446 0.633648 4.26772
77 4.59 0.551079 6.45165 0.70043 7.22891 1.16944 6.26234 0.329121 2.55869 0.61705 4.44398
78 4.65 0.560947 6.61637 0.724085 7.44119 1.24252 6.6264 0.311384 2.65018 0.594215 4.61818
79 4.71 0.576497 6.79006 0.749752 7.6667 1.31501 7.0217 0.301949 2.7412 0.570627 4.7898
80 4.77 0.598244 6.97493 0.779687 7.90722 1.3806 7.44736 0.291843 2.83144 0.550832 4.95972
81 4.83 0.626499 7.17342 0.813797 8.16462 1.42548 7.89798 0.289034 2.92307 0.536601 5.12945
82 4.89 0.661325 7.38819 0.848833 8.43982 1.44793 8.36714 0.284972 3.01567 0.526131 5.30002
83 4.95 0.70174 7.62171 0.886766 8.73441 1.43735 8.84437 0.285179 3.11062 0.524008 5.4741
84 5.01 0.749641 7.87725 0.926505 9.04972 1.39921 9.32026 0.287031 3.20852 0.516907 5.65002
85 5.07 0.802372 8.15736 0.967543 9.38692 1.34017 9.78706 0.294558 3.31141 0.517309 5.83031
86 5.13 0.859741 8.46464 1.00815 9.74663 1.26513 10.2382 0.304283 3.42023 0.523043 6.01692
87 5.19 0.91964 8.80107 1.04902 10.1297 1.18714 10.6715 0.312286 3.53454 0.529702 6.21037
88 5.25 0.980318 9.16803 1.08816 10.5364 1.11093 11.0864 0.329767 3.65807 0.533415 6.4097
89 5.31 1.03826 9.56562 1.1254 10.9666 1.04446 11.4855 0.345143 3.79031 0.545076 6.61807
90 5.37 1.0896 9.99235 1.15917 11.4198 0.986585 11.871 0.370376 3.93545 0.54857 6.83254
91 5.43 1.13453 10.4467 1.19012 11.8956 0.939534 12.2464 0.390101 4.09175 0.564735 7.0583
