# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_1[1] c_1[2] c_1[3] c_1[4] c_1[5] c_1[6] c_1[7] c_1[8] c_1[9] c_1[10] c_1[11]
5000000 250
75 4.47 0.419563 6.44828 0.636809 7.23276 0.959354 6.06126 0.376504 2.49954 0.663865 4.37593
76 4.53 0.422102 6.57427 0.658645 7.42903 1.02747 6.36725 0.357951 2.60644 0.664364 4.57389
77 4.59 0.430466 6.70619 0.685126 7.63863 1.11249 6.70741 0.339217 2.71046 0.644427 4.77103
78 4.65 0.445834 6.8464 0.71636 7.86355 1.20757 7.08635 0.324148 2.81246 0.603728 4.96059
79 4.71 0.469314 6.99784 0.753448 8.10627 1.30932 7.50789 0.310476 2.9127 0.559783 5.14091
80 4.77 0.500156 7.16337 0.794213 8.36867 1.40354 7.97135 0.302475 3.01286 0.513514 5.31058
81 4.83 0.539244 7.34635 0.836832 8.65216 1.47119 8.46945 0.288833 3.11093 0.482229 5.47393
82 4.89 0.586492 7.55034 0.883588 8.95896 1.50209 8.99072 0.281265 3.20881 0.462331 5.63447
83 4.95 0.644086 7.77989 0.931194 9.29028 1.48632 9.51926 0.279544 3.3085 0.464775 5.79984
84 5.01 0.710387 8.03925 0.979626 9.64734 1.42697 10.0391 0.279903 3.41074 0.480673 5.97503
85 5.07 0.785873 8.33308 1.02689 10.0306 1.33222 10.536 0.282875 3.51657 0.500836 6.16198
86 5.13 0.869152 8.66579 1.07265 10.4405 1.22132 11.0025 0.291348 3.62816 0.530972 6.36489
87 5.19 0.959072 9.04155 1.11488 10.8766 1.10832 11.4358 0.307659 3.74876 0.551603 6.58064
88 5.25 1.04882 9.46204 1.15454 11.3387 1.01165 11.8404 0.33101 3.88154 0.558727 6.80426
89 5.31 1.13609 9.92798 1.1896 11.8258 0.930547 12.2212 0.352761 4.0263 0.554922 7.03147
90 5.37 1.21553 10.4378 1.22181 12.3374 0.872538 12.5864 0.381186 4.18628 0.552251 7.26271
91 5.43 1.27848 10.9861 1.24734 12.8714 0.833433 12.943 0.412083 4.36311 0.538951 7.49346
92 5.49 1.32459 11.5668 1.26891 13.4268 0.808192 13.2965 0.442606 4.55726 0.536923 7.72845
93 5.55 1.35297 12.173 1.28489 14.0015 0.794677 13.6518 0.473927 4.76971 0.532855 7.96679
94 5.61 1.36484 12.7978 1.29612 14.5938 0.78991 14.0126 0.499111 4.99832 0.55108 8.21863
95 5.67 1.36505 13.4361 1.30188 15.2016 0.790584 14.3814 0.532359 5.24741 0.564126 8.48199
96 5.73 1.35825 14.0848 1.30164 15.8222 0.799237 14.7623 0.559528 5.51477 0.586472 8.7616
97 5.79 1.34647 14.7414 1.29403 16.4521 0.809598 15.1561 0.593888 5.80453 0.606391 9.05679
98 5.85 1.33435 15.4056 1.2791 17.0877 0.824871 15.5658 0.634335 6.12047 0.626442 9.3681
99 5.91 1.32039 16.0764 1.25854 17.7261 0.839787 15.9915 0.668005 6.46003 0.645091 9.69528
100 5.97 1.3072 16.7541 1.23224 18.3638 0.856555 16.4346 0.695027 6.82054 0.665436 10.0397
101 6.03 1.29201 17.4374 1.20018 18.9975 0.871386 16.8944 0.717992 7.20049 0.699129 10.4088
102 6.09 1.27479 18.1251 1.16459 19.6247 0.885798 17.3712 0.732194 7.5957 0.722333 10.7978
103 6.15 1.25654 18.8164 1.12663 20.2434 0.896877 17.8635 0.735446 8.00053 0.75252 11.2111
104 6.21 1.23327 19.5081 1.08804 20.8527 0.906301 18.3707 0.733101 8.41198 0.777318 11.6464
105 6.27 1.20578 20.1976 1.04958 21.4519 0.914804 18.8927 0.720084 8.82397 0.791968 12.0985
106 6.33 1.17557 20.8828 1.01083 22.04 0.92201 19.4288 0.710264 9.23816 0.805038 12.5669
107 6.39 1.14267 21.5614 0.974989 22.6181 0.926929 19.9781 0.699068 9.65358 0.799389 13.0409
108 6.45 1.1079 22.2318 0.94111 23.1866 0.932078 20.5409 0.693439 10.0734 0.785014 13.5151
109 6.51 1.07057 22.8918 0.910962 23.7472 0.935813 21.1164 0.691154 10.4997 0.765439 13.9862
110 6.57 1.03436 23.5412 0.883799 24.3012 0.939516 21.705 0.689856 10.9331 0.74833 14.4552
111 6.63 0.998445 24.1796 0.861145 24.8509 0.944904 22.3078 0.679814 11.368 0.728182 14.92
112 6.69 0.963167 24.8066 0.841213 25.3976 0.950693 22.9253 0.675611 11.808 0.70951 15.3811
113 6.75 0.931892 25.4242 0.826012 25.9441 0.957334 23.5583 0.661849 12.2469 0.704754 15.8474
114 6.81 0.902478 26.0329 0.814843 26.4928 0.966968 24.2091 0.65924 12.6919 0.69209 16.3135
115 6.87 0.876446 26.6346 0.807793 27.0464 0.976904 24.8783 0.650318 13.1385 0.692927 16.7884
116 6.93 0.853375 27.2307 0.805354 27.608 0.989127 25.5677 0.647682 13.5912 0.697181 17.2745
117 6.99 0.835132 27.8242 0.807685 28.1811 1.00416 26.2797 0.649299 14.0529 0.706636 17.7759
118 7.05 0.821242 28.4179 0.81358 28.7682 1.01944 27.015 0.657134 14.5283 0.719925 18.2955
119 7.11 0.812302 29.0152 0.822736 29.3722 1.03772 27.7764 0.662683 15.0158 0.738429 18.8375
120 7.17 0.807071 29.6187 0.835997 29.9963 1.05639 28.5645 0.661206 15.5105 0.758501 19.4038
121 7.23 0.806879 30.2322 0.851927 30.6429 1.07611 29.3809 0.663513 16.0153 0.773792 19.9911
122 7.29 0.811313 30.8593 0.869471 31.3139 1.09431 30.2249 0.662094 16.5274 0.795845 20.6053
123 7.35 0.818779 31.5027 0.889497 32.0117 1.11092 31.0959 0.656571 17.0436 0.80852 21.2395
124 7.41 0.832344 32.1675 0.910711 32.7378 1.12685 31.9938 0.644651 17.5587 0.824703 21.8971
125 7.47 0.849585 32.857 0.932135 33.4931 1.14073 32.9176 0.628641 18.0692 0.834896 22.5736
126 7.53 0.870249 33.5748 0.953732 34.2783 1.15013 33.864 0.616181 18.5777 0.838147 23.2636
127 7.59 0.895072 34.3248 0.975346 35.0942 1.15684 34.8312 0.600352 19.081 0.842447 23.9684
128 7.65 0.921336 35.1091 0.995506 35.9402 1.16012 35.8165 0.589731 19.5833 0.836663 24.6793
129 7.71 0.949248 35.9298 1.01496 36.8163 1.1601 36.8173 0.58198 20.0868 0.827219 25.3934
130 7.77 0.978947 36.7895 1.03308 37.722 1.15595 37.8301 0.576453 20.5933 0.810596 26.104
131 7.83 1.00858 37.6889 1.04875 38.6556 1.14897 38.8524 0.571997 21.1036 0.79778 26.8142
132 7.89 1.03705 38.6279 1.0623 39.6159 1.13962 39.882 0.569728 21.6198 0.787727 27.5263
133 7.95 1.06477 39.6068 1.07379 40.6014 1.12559 40.9145 0.574531 22.1483 0.773704 28.2364
134 8.01 1.09015 40.6241 1.08221 41.6096 1.11066 41.9486 0.576086 22.6862 0.763931 28.9481
135 8.07 1.11304 41.6785 1.08881 42.6393 1.09474 42.9833 0.586142 23.2417 0.759938 29.6667
136 8.13 1.13133 42.7661 1.093 43.6883 1.07588 44.0154 0.605791 23.8245 0.758724 30.3949
137 8.19 1.14516 43.8834 1.09481 44.7547 1.05862 45.0459 0.624916 24.4345 0.762564 31.1377
138 8.25 1.15553 45.0274 1.09415 45.836 1.04139 46.0745 0.653195 25.0815 0.769283 31.898
139 8.31 1.16137 46.1939 1.09244 46.9315 1.02375 47.1005 0.687473 25.7724 0.779663 32.6798
140 8.37 1.16192 47.3779 1.0883 48.0386 1.00645 48.1238 0.715338 26.5018 0.791045 33.4845
141 8.43 1.15942 48.5764 1.08355 49.1567 0.990136 49.145 0.747611 27.275 0.798274 34.3083
142 8.49 1.15278 49.785 1.07731 50.2843 0.975946 50.1659 0.774764 28.0878 0.807748 35.1537
143 8.55 1.14239 50.9997 1.071 51.4212 0.962064 51.1865 0.800352 28.9393 0.817989 36.022
144 8.61 1.13093 52.2191 1.06329 52.5658 0.950245 52.2089 0.828247 29.8328 0.821168 36.906
145 8.67 1.11615 53.4395 1.0557 53.7181 0.938894 53.2331 0.850847 30.7637 0.832539 37.8147
146 8.73 1.10136 54.6604 1.04721 54.877 0.929134 54.2608 0.872029 31.7309 0.848862 38.7542
147 8.79 1.08562 55.8804 1.03932 56.0431 0.920442 55.2929 0.89226 32.7342 0.871173 39.7316
148 8.85 1.06974 57.0991 1.0307 57.2153 0.913385 56.3311 0.910991 33.7726 0.892173 40.7462
149 8.91 1.05423 58.3164 1.02167 58.3931 0.908057 57.3773 0.920874 34.8366 0.919069 41.8057
150 8.97 1.03922 59.5327 1.01313 59.5768 0.904057 58.433 0.930191 35.9258 0.941029 42.9052
151 9.03 1.02348 60.7465 1.00452 60.7662 0.901561 59.4999 0.930957 37.0306 0.963375 44.0459
152 9.09 1.00917 61.9594 0.996293 61.9616 0.900231 60.5794 0.923896 38.1416 0.980522 45.2224
153 9.15 0.995204 63.1713 0.987956 63.1626 0.901328 61.6745 0.913914 39.2552 0.994329 46.4312
154 9.21 0.982192 64.3832 0.979999 64.3697 0.903191 62.7864 0.897053 40.3626 1.00501 47.6691
155 9.27 0.969156 65.5945 0.973231 65.5841 0.906891 63.9174 0.883276 41.4672 1.01117 48.9308
156 9.33 0.957307 66.8066 0.966683 66.806 0.911562 65.069 0.868739 42.5678 1.00435 50.2004
157 9.39 0.947079 68.0212 0.961568 68.0372 0.918122 66.2438 0.857677 43.6683 0.998773 51.4791
158 9.45 0.93686 69.2382 0.957902 69.2793 0.925932 67.4438 0.848744 44.7714 0.988231 52.7606
159 9.51 0.928134 70.4591 0.955183 70.5337 0.934378 68.6702 0.844745 45.8833 0.982163 54.0504
160 9.57 0.920862 71.6858 0.954093 71.8026 0.942717 69.9232 0.83851 47.0009 0.973435 55.345
161 9.63 0.915286 72.9204 0.953721 73.0869 0.953132 71.206 0.83709 48.1307 0.966375 56.6463
162 9.69 0.91027 74.1636 0.954946 74.3889 0.96319 72.5185 0.835171 49.272 0.959093 57.954
163 9.75 0.907766 75.4188 0.957824 75.711 0.974051 73.8624 0.83596 50.4285 0.950593 59.2662
164 9.81 0.906878 76.6882 0.961305 77.0544 0.984 75.2367 0.833757 51.5963 0.940299 60.5802
165 9.87 0.907365 77.9739 0.965721 78.4205 0.994388 76.6425 0.838994 52.7857 0.926841 61.8913
166 9.93 0.909689 79.2786 0.971035 79.8108 1.00454 78.08 0.841191 53.9929 0.914954 63.2013
167 9.99 0.913426 80.6046 0.97662 81.2261 1.0137 79.5482 0.847481 55.2238 0.904642 64.5123
168 10.05 0.919469 81.9554 0.983115 82.668 1.02253 81.0471 0.845211 56.4662 0.899628 65.8317
169 10.11 0.92626 83.3325 0.989775 84.137 1.03067 82.576 0.845146 57.7234 0.891263 67.1545
170 10.17 0.934866 84.7389 0.9967 85.634 1.03821 84.1343 0.841832 58.9906 0.884352 68.4827
171 10.23 0.944549 86.1767 1.00324 87.1585 1.04543 85.7221 0.839541 60.2693 0.881067 69.8216
172 10.29 0.955556 87.6484 1.00944 88.7106 1.05149 87.3379 0.837405 61.5597 0.875613 71.1679
173 10.35 0.967619 89.156 1.01536 90.29 1.05641 88.9803 0.835665 62.8625 0.868727 72.5192
174 10.41 0.979722 90.7003 1.02058 91.896 1.06066 90.6484 0.836821 64.1823 0.861662 73.8751
175 10.47 0.992626 92.2831 1.02539 93.5282 1.06326 92.3399 0.838023 65.5192 0.854001 75.2345
176 10.53 1.00518 93.9042 1.02894 95.1849 1.06444 94.0528 0.834846 66.8664 0.854166 76.6098
177 10.59 1.01769 95.5643 1.03205 96.8655 1.06473 95.7857 0.835738 68.2305 0.855898 78.0036
178 10.65 1.02925 97.2623 1.03424 98.5689 1.06365 97.5365 0.83238 69.6045 0.863302 79.4254
179 10.71 1.03961 98.9968 1.03562 100.294 1.06113 99.303 0.825352 70.9823 0.872106 80.878
180 10.77 1.04873 100.766 1.03619 102.039 1.05821 101.084 0.821787 72.3695 0.881266 82.3623
181 10.83 1.05744 102.57 1.03562 103.803 1.05363 102.878 0.819752 73.7688 0.89247 83.8823
182 10.89 1.06283 104.404 1.03416 105.584 1.04927 104.684 0.82113 75.186 0.903034 85.4374
183 10.95 1.068 106.266 1.03258 107.382 1.0437 106.5 0.826244 76.6278 0.914171 87.029
184 11.01 1.07025 108.153 1.03032 109.195 1.03807 108.326 0.835251 78.1013 0.923511 88.6546
185 11.07 1.07129 110.063 1.02713 111.023 1.03184 110.161 0.84827 79.6142 0.93108 90.3114
186 11.13 1.07057 111.992 1.02383 112.865 1.02582 112.005 0.867523 81.1782 0.936004 91.9951
187 11.19 1.06791 113.937 1.01983 114.719 1.02016 113.859 0.880233 82.7823 0.938539 93.7016
188 11.25 1.06408 115.896 1.01585 116.586 1.01399 115.722 0.906335 84.4517 0.94087 95.4307
189 11.31 1.05942 117.867 1.01137 118.464 1.00812 117.593 0.927036 86.1775 0.944021 97.1842
190 11.37 1.05358 119.848 1.0069 120.355 1.00165 119.472 0.949463 87.9638 0.941468 98.9515
191 11.43 1.04687 121.837 1.00256 122.256 0.995485 121.36 0.967335 89.8031 0.952002 100.758
192 11.49 1.0399 123.834 0.998081 124.17 0.989472 123.256 0.983963 91.6936 0.956146 102.591
193 11.55 1.03223 125.837 0.993666 126.095 0.983857 125.16 0.992949 93.6214 0.966655 104.463
194 11.61 1.0241 127.845 0.989915 128.032 0.97855 127.075 0.99009 95.5636 0.977824 106.377
195 11.67 1.01623 129.858 0.986558 129.983 0.973931 129 0.992319 97.5304 0.986314 108.328
196 11.73 1.00857 131.876 0.982952 131.947 0.969565 130.936 0.989004 99.5108 0.995502 110.317
197 11.79 1.00054 133.899 0.980673 133.927 0.96661 132.886 0.985147 101.504 1.00654 112.348
198 11.85 0.992966 135.927 0.978336 135.921 0.964223 134.851 0.982986 103.513 1.01391 114.416
