LAMMPS data file via write_data, version 15 Apr 2020, timestep = 12000000

8400 atoms
2 atom types

-5.9099547646241319e+00 2.8359995476463484e+02 xlo xhi
-2.1446273254920634e+00 4.0174627325491812e+01 ylo yhi
-1.7757301867509554e+00 1.6325730186751606e+01 zlo zhi

Masses

1 22.9898
2 35.45

Atoms # charge

2 1 1.0000000000000000e+00 -4.5476539589546521e+00 1.7010136985940738e+00 2.0687036477358687e+00 0 0 0
5 2 -1.0000000000000000e+00 -2.2456367298699749e+00 2.4038355358224908e+00 1.2020126448392114e+00 0 0 0
7 2 -1.0000000000000000e+00 -4.9176122943922032e+00 1.7034734174674762e+00 -1.0201097016021610e+00 0 0 0
10 1 1.0000000000000000e+00 7.4167020488506219e-01 1.7374034402354499e+00 1.4144939502790650e+00 0 0 0
15 2 -1.0000000000000000e+00 1.2377306889721569e+00 1.7792499206122527e+00 -1.2578961440464558e+00 0 0 0
403 1 1.0000000000000000e+00 -1.3521899191037554e+00 5.0457687945610035e+00 2.0574855024683689e+00 0 0 0
408 2 -1.0000000000000000e+00 -4.5536473009272838e+00 4.7818193703497318e+00 1.9083047026666038e+00 0 0 0
416 2 -1.0000000000000000e+00 1.4541381425777464e+00 4.5572552556156696e+00 2.2348806176992553e+00 0 0 0
2804 1 1.0000000000000000e+00 -1.8966394370734210e+00 1.9466292737359827e+00 4.9139943995772928e+00 0 0 0
2807 2 -1.0000000000000000e+00 -4.5233447621320808e+00 1.7100541866913292e+00 4.5855116113206993e+00 0 0 0
2815 2 -1.0000000000000000e+00 4.7631438863198478e-01 1.7967498959831136e+00 4.5096382032225240e+00 0 0 0
3201 1 1.0000000000000000e+00 -4.6676116020704042e+00 4.3059929074220298e+00 5.2247021836514680e+00 0 0 0
3206 2 -1.0000000000000000e+00 -1.6150774918944901e+00 4.5591301164720379e+00 4.9700823243418712e+00 0 0 0
3209 1 1.0000000000000000e+00 1.2252890730976991e+00 4.3830263288396232e+00 4.7739392954147961e+00 0 0 0
406 2 -1.0000000000000000e+00 -1.1229920333913928e+00 5.5441892361483127e+00 -8.5341479686785271e-01 0 0 0
401 1 1.0000000000000000e+00 -4.8882532422572194e+00 4.6183361000817200e+00 -6.3898283232955033e-01 0 0 0
