# Time-averaged data for fix totalE
# TimeStep v_Temp v_Et v_Enth
2810000 494.518 -8203.43 -8211.82
2815000 495.792 -8010.48 -8049.8
2820000 497.635 -7946.15 -7986.68
2825000 498.977 -7815.47 -7782.06
2830000 501.223 -7670.56 -7667.48
2835000 502.11 -7612.75 -7611.33
2840000 503.038 -7453.36 -7433.2
2845000 504.815 -7287.27 -7270.91
2850000 506.348 -7238.91 -7247.67
2855000 507.968 -7224.07 -7215.26
2860000 509.189 -7070.87 -7121.69
2865000 509.387 -6997.22 -6964.81
2870000 511.995 -6886.52 -6851.68
2875000 513.107 -6830.87 -6857.54
2880000 515.36 -6628.58 -6681.8
2885000 515.672 -6617.54 -6636.91
2890000 517.29 -6472.73 -6455.47
2895000 518.046 -6415.76 -6384.99
2900000 519.224 -6282.65 -6325.83
2905000 520.746 -6275.63 -6242.17
2910000 522.836 -6098.88 -6127.81
2915000 523.428 -6039.95 -6012.6
2920000 524.907 -5859.25 -5841.58
2925000 526.735 -5677.21 -5670.21
2930000 528.963 -5589.03 -5572.87
2935000 529.164 -5530.9 -5567.33
2940000 529.941 -5439.49 -5370.73
2945000 530.994 -5252 -5298.16
2950000 533.131 -5024.85 -5079.03
2955000 534.808 -4798.48 -4759.69
2960000 535.66 -4827.8 -4835.67
2965000 538.071 -4562.14 -4525.02
2970000 538.968 -4407.4 -4469.87
2975000 540.328 -4257.84 -4270.75
2980000 541.622 -4111.87 -4120.37
2985000 542.796 -4051.15 -4029.45
2990000 544.587 -3871.1 -3899.93
2995000 545.864 -3808.49 -3835.12
3000000 546.361 -3697.58 -3674.2
3005000 548.493 -3649.58 -3650.16
3010000 549.376 -3479.93 -3543.61
3015000 551.545 -3250.43 -3236.49
3020000 553.413 -3145.62 -3140.66
3025000 554.199 -3097.98 -3108.03
3030000 555.469 -2914.59 -2894.51
3035000 556.251 -2756.03 -2794.18
3040000 557.951 -2621.63 -2600.43
3045000 559.733 -2669.2 -2717.24
3050000 561.275 -2567.88 -2501.16
3055000 563.544 -2343.75 -2371.3
3060000 563.466 -2314.89 -2270.44
3065000 564.227 -2355.41 -2337.5
3070000 566.293 -2210.97 -2234.62
3075000 567.564 -2072.31 -2097.85
3080000 568.839 -1946.83 -1972.3
3085000 571.026 -1798.69 -1740.47
3090000 571.523 -1849.83 -1820.48
3095000 573.203 -1713.39 -1731.67
3100000 574.779 -1684.22 -1619.63
3105000 576.349 -1536.47 -1580.64
3110000 577.577 -1467.42 -1479.55
3115000 579.595 -1349.47 -1352.32
3120000 580.123 -1325.37 -1364.62
3125000 582.656 -1133.27 -1157.85
3130000 583.133 -1075.64 -1100.7
3135000 584.313 -970.718 -965.415
3140000 585.778 -922.674 -887.339
3145000 586.707 -899.366 -917.484
3150000 588.893 -670.053 -597.678
3155000 589.469 -635.671 -623.582
3160000 592.736 -462.932 -468.612
3165000 593.192 -427.908 -391.462
3170000 594.412 -363.193 -376.075
3175000 595.886 -138.043 -67.46
3180000 597.198 -78.9979 -119.272
3185000 597.637 -33.9534 -41.2144
3190000 600.014 150.426 162.69
3195000 601.154 173.69 186.595
3200000 602.515 325.281 336.643
3205000 603.974 402.835 374.092
3210000 604.233 398.059 405.264
3215000 606.702 623.811 601.556
3220000 607.468 693.104 711.039
3225000 609.925 853.092 849.229
3230000 609.642 786.832 777.129
3235000 611.754 936.672 1006.08
3240000 613.016 1070.81 1090.08
3245000 613.819 1155.66 1162.68
3250000 616.925 1284.84 1282.45
3255000 616.905 1413 1405.78
3260000 618.796 1551.73 1548.65
3265000 619.512 1528.44 1491.16
3270000 621.276 1594.9 1588.16
3275000 623.268 1810.64 1790.53
3280000 623.829 1847.59 1864.98
3285000 625.828 1969.98 1936.14
3290000 627.623 2023.92 2058.07
3295000 628.404 2152.75 2092.72
3300000 630.362 2272.02 2236.94
3305000 630.8 2275.5 2308.65
3310000 632.863 2376.77 2332.61
3315000 633.88 2530.58 2538.8
3320000 634.68 2615.14 2611.01
3325000 636.725 2657.72 2623.71
3330000 637.907 2777.54 2791.18
3335000 640.36 2852.45 2864.45
3340000 641.609 2991.97 2987.77
3345000 642.865 3059.79 3017.4
3350000 644.189 3095.93 3199.3
3355000 644.451 3177.39 3153.15
3360000 645.855 3240.53 3250.74
3365000 649 3404.95 3379.07
3370000 647.885 3468.56 3441.34
3375000 650.359 3657.74 3654.26
3380000 652.394 3875.85 3822.34
3385000 653.941 3970.81 3984.04
3390000 653.798 3909.71 3790.35
3395000 655.846 3965.58 4025.14
3400000 657.544 4139.79 4124.17
3405000 658.968 4134.92 4124.31
3410000 658.666 4111.29 4089.81
3415000 661.724 4353.87 4334.94
3420000 663.468 4511.91 4464.01
3425000 664.239 4527.24 4529.87
3430000 665.869 4607.14 4635.97
3435000 666.122 4615.79 4586.64
3440000 668.06 4756.63 4771.94
3445000 668.162 4726.36 4683.21
3450000 671.71 5028.55 5068.53
3455000 671.614 5077.48 5064.87
3460000 674.936 5372.39 5346.95
3465000 675.918 5366.71 5396.91
3470000 676.376 5382.2 5413.95
3475000 677.941 5440.54 5410.78
3480000 679.836 5640.75 5654.43
3485000 681.246 5792.04 5764.78
3490000 681.45 5791.34 5785.45
3495000 683.081 5894.65 5843.13
3500000 684.541 5992.36 5970.65
3505000 687.673 6144.63 6167.73
3510000 687.054 6127.56 6158.01
3515000 689.679 6277.38 6328.3
3520000 688.754 6135.21 6087.99
3525000 691.636 6450.77 6459.54
3530000 693.381 6547.05 6587.98
3535000 695.757 6690.22 6677.16
3540000 695.896 6663.08 6639.7
3545000 697.626 6814.89 6802.97
3550000 698.482 6923.85 6931.39
3555000 700.217 6961.34 6957.04
3560000 702.381 7141.36 7151.15
3565000 702.241 7212.77 7195.12
3570000 704.766 7246.4 7228.91
3575000 705.869 7395.67 7379.92
3580000 706.685 7478.32 7483.8
3585000 707.728 7504.4 7518.85
3590000 708.657 7582.4 7552.42
3595000 711.545 7752.65 7789.78
3600000 711.058 7681.19 7643.67
3605000 713.928 7810.72 7835.15
3610000 715.366 7874.96 7819.16
3615000 715.972 8002.48 7972.67
3620000 717.107 8014 8040.75
3625000 719.352 8190.24 8189.53
3630000 720.321 8330.9 8255.23
3635000 721.212 8427.33 8444.8
3640000 723.143 8511.57 8540.75
3645000 725.109 8622.12 8568.41
3650000 725.629 8770.42 8828.87
3655000 727.543 8822.82 8806.63
3660000 729.375 8940.65 8947.68
3665000 729.804 9013.57 8998.03
3670000 732.117 9167.96 9138.76
3675000 733.582 9181.24 9184.26
3680000 733.016 9279.24 9294.32
3685000 735.214 9389.36 9391.99
3690000 735.171 9339.24 9353.73
3695000 737.472 9563.66 9542.84
3700000 739.808 9622.91 9578.88
3705000 739.579 9607.26 9608.26
3710000 742.438 9830.18 9839.06
3715000 744.977 9915.54 9948.53
3720000 745.216 9988.55 10025.9
3725000 746.903 10193.6 10210
3730000 748.214 10276.5 10222.6
3735000 748.557 10300.7 10242.7
3740000 751.083 10438.6 10404.2
3745000 751.491 10462 10432.8
3750000 752.714 10543.1 10519.4
3755000 754.4 10635.9 10671.2
3760000 754.511 10629.3 10615
3765000 757.992 10876.4 10935.2
3770000 759.68 10985.8 11019.5
3775000 759.64 11020.1 11038.5
3780000 761.912 11276.2 11247.5
3785000 763.527 11230.2 11270.5
3790000 765.012 11221.4 11309.9
3795000 766.366 11412.5 11356.9
3800000 767.478 11481.5 11477.4
3805000 769.65 11692.1 11692
3810000 769.866 11794 11763.1
3815000 771.06 11886.7 11914.8
3820000 773.867 11974 11987.7
3825000 775.568 12176.5 12157.4
3830000 775.427 12028.7 11957.5
3835000 776.521 12069.7 12149.7
3840000 778.6 12208.9 12209.1
3845000 779.469 12331 12263.8
3850000 780.799 12414.4 12448.4
3855000 783.644 12497.3 12498
3860000 783.975 12561.1 12663.3
3865000 785.127 12620.5 12611
3870000 785.996 12706.3 12676.1
3875000 788.509 12862.3 12826.3
3880000 787.787 12940.2 12963.5
3885000 790.581 13061.1 13055.2
3890000 792.44 13220.3 13199.5
3895000 792.759 13216 13271.3
3900000 794.837 13374.5 13359.6
3905000 797.128 13640.5 13602.5
3910000 798.76 13615.8 13636.2
3915000 799.21 13679 13690.1
3920000 799.753 13758.7 13825.1
3925000 801.809 13829.4 13777.4
3930000 802.481 13861.4 13855.4
3935000 804.015 13889.5 13913.3
3940000 805.492 14035.7 14047
3945000 807.246 14216.1 14231.8
3950000 807.849 14330.4 14361.5
3955000 810.329 14412.8 14425.3
3960000 810.856 14530.6 14422.7
3965000 812.885 14574.8 14602.7
3970000 813.724 14720.8 14773.8
3975000 815.472 14764.3 14849.6
3980000 815.375 14839.5 14832.2
3985000 817.115 14937.6 14962.9
3990000 820.794 15149.5 15156.8
3995000 820.712 15167.4 15150.1
4000000 821.683 15275.4 15238.8
