# Time-averaged data for fix totalE
# TimeStep v_Temp v_Et v_Enth
2830000 727.524 8834 8815.4
2835000 730.359 9062.76 9031.72
2840000 734.688 9340.02 9386.07
2845000 737.32 9516.26 9533.73
2850000 739.046 9649.16 9565.63
2855000 743.161 9764.72 9744.43
2860000 743.931 9860.42 9924.81
2865000 747.364 10085.9 10046
2870000 748.797 10366.5 10455.7
2875000 753.138 10550.8 10476.7
2880000 755.014 10730.2 10734.2
2885000 759.296 10970 10904.5
2890000 760.048 11068.7 11061.9
2895000 763.522 11204 11197
2900000 766.249 11441.1 11427.1
2905000 769.784 11646.8 11708.6
2910000 772.596 11903.2 11963
2915000 773.633 11896 11834.9
2920000 777.995 12213 12279.7
2925000 780.488 12332.7 12330.9
2930000 784.101 12628.1 12609.3
2935000 785.946 12775.6 12823.1
2940000 787.813 12886.1 12845.1
2945000 792.876 13116.5 13088.8
2950000 794.288 13319.4 13360.9
2955000 797.311 13468.8 13540.3
2960000 797.746 13618 13595.8
2965000 803.325 14060 14031.8
2970000 805.002 14097.3 14128.9
2975000 808.526 14323.6 14347.2
2980000 809.241 14356.7 14350
2985000 812.591 14722.8 14755.9
2990000 815.656 14870.2 14862.6
2995000 819.071 14992.1 14946.1
3000000 822.36 15258.9 15301.5
