# Chunk-averaged data for fix 4 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
4050000 20 8980
  5 16.1694 440.582 -0.000259388
  6 18.03 450.074 -1.0971e-05
  7 19.8907 445.682 0.000209003
  8 21.7513 449.964 0.00042813
  9 23.6119 454.402 0.000616984
  10 25.4725 459.382 0.000789541
  11 27.3332 457.178 0.00101565
  12 29.1938 458.028 0.000776728
  13 31.0544 455.33 0.000602162
  14 32.915 454.312 0.000427805
  15 34.7757 450.922 0.000249769
  16 36.6363 442.964 2.86206e-05
  17 38.4969 445.746 -0.000215815
  18 40.3576 440.86 -0.000478907
  19 42.2182 445.268 -0.00073211
  20 44.0788 446.034 -0.000992828
4500000 20 8980
  1 8.72689 451.01 -0.00131962
  2 10.5875 444.82 -0.00101787
  3 12.4481 445.612 -0.000769972
  4 14.3088 449.006 -0.000519463
  5 16.1694 444.14 -0.000278143
  6 18.03 445.782 -3.95687e-05
  7 19.8907 444.696 0.00020345
  8 21.7513 446.268 0.000451198
  9 23.6119 451.738 0.00066174
  10 25.4725 457.958 0.000842495
  11 27.3332 452.516 0.00107153
  12 29.1938 459.684 0.000785292
  13 31.0544 453.17 0.000625332
  14 32.915 458.806 0.000444504
  15 34.7757 449.236 0.000257271
  16 36.6363 447.428 2.99844e-05
  17 38.4969 444.818 -0.000227848
  18 40.3576 441.516 -0.000501244
  19 42.2182 449.088 -0.00076736
  20 44.0788 442.708 -0.00100731
4550000 20 8980
  1 8.72689 447.392 -0.00127505
  2 10.5875 444.03 -0.000990041
  3 12.4481 446.512 -0.000733867
  4 14.3088 448.97 -0.000507989
  5 16.1694 440.324 -0.000256618
  6 18.03 446.484 -1.59156e-05
  7 19.8907 445.454 0.000212855
  8 21.7513 454.166 0.000427677
  9 23.6119 455.624 0.000629928
  10 25.4725 457.04 0.000803888
  11 27.3332 456.32 0.00104517
  12 29.1938 459.066 0.000777952
  13 31.0544 456.794 0.00061429
  14 32.915 452.762 0.00043385
  15 34.7757 451.53 0.000228919
  16 36.6363 438.568 1.57737e-05
  17 38.4969 443.948 -0.00024449
  18 40.3576 439.62 -0.000497112
  19 42.2182 445.88 -0.000767324
  20 44.0788 449.516 -0.000991602
4600000 20 8980
  1 8.72689 445.258 -0.00128869
  2 10.5875 446.018 -0.000987942
  3 12.4481 442.114 -0.000740569
  4 14.3088 445.26 -0.000441152
  5 16.1694 449.068 -0.00023718
  6 18.03 448.44 -1.54702e-05
  7 19.8907 446.212 0.000200554
  8 21.7513 454.01 0.000414468
  9 23.6119 455.316 0.000587454
  10 25.4725 456.624 0.000764729
  11 27.3332 460.74 0.00102632
  12 29.1938 453.01 0.000780221
  13 31.0544 453.266 0.000590826
  14 32.915 455.56 0.00043117
  15 34.7757 446.226 0.000243338
  16 36.6363 446.766 2.38583e-05
  17 38.4969 442.09 -0.000227436
  18 40.3576 450.06 -0.000489185
  19 42.2182 437.33 -0.000726711
  20 44.0788 446.632 -0.000984239
4650000 20 8980
  1 8.72689 445.958 -0.00127906
  2 10.5875 448.476 -0.0009779
  3 12.4481 441.032 -0.000737401
  4 14.3088 444.352 -0.000486925
  5 16.1694 446.534 -0.000209524
  6 18.03 444.048 1.42897e-05
  7 19.8907 456.326 0.000235527
  8 21.7513 450.78 0.000420798
  9 23.6119 454.126 0.000582828
  10 25.4725 455.744 0.00076754
  11 27.3332 460.74 0.00102651
  12 29.1938 452.062 0.000808968
  13 31.0544 456.142 0.000617998
  14 32.915 449.87 0.000459374
  15 34.7757 449.46 0.000231664
  16 36.6363 443.896 -1.5513e-06
  17 38.4969 442.222 -0.000250445
  18 40.3576 446.774 -0.000518944
  19 42.2182 439.422 -0.000771639
  20 44.0788 452.036 -0.00100494
4700000 20 8980
  1 8.72689 448.386 -0.00127271
  2 10.5875 448.142 -0.000978867
  3 12.4481 441.032 -0.000749354
  4 14.3088 443.968 -0.0004436
  5 16.1694 448.506 -0.000226731
  6 18.03 447.064 3.06642e-05
  7 19.8907 452.664 0.000252089
  8 21.7513 446.678 0.000422734
  9 23.6119 462.01 0.000612234
  10 25.4725 457.478 0.000796042
  11 27.3332 457.652 0.00102611
  12 29.1938 453.56 0.000781805
  13 31.0544 457.116 0.000611284
  14 32.915 446.37 0.000431619
  15 34.7757 446.618 0.000216674
  16 36.6363 441.408 -1.78005e-05
  17 38.4969 445.17 -0.000256913
  18 40.3576 447.522 -0.000540229
  19 42.2182 444.632 -0.000749475
  20 44.0788 444.024 -0.000983901
4750000 20 8980
  1 8.72689 450.518 -0.00125053
  2 10.5875 449.856 -0.000946502
  3 12.4481 442.104 -0.000705927
  4 14.3088 446.512 -0.000469436
  5 16.1694 439.846 -0.000209097
  6 18.03 449.832 6.51189e-05
  7 19.8907 445.078 0.000247524
  8 21.7513 455.672 0.000414449
  9 23.6119 453.218 0.000620821
  10 25.4725 459.532 0.00076422
  11 27.3332 459.458 0.0010225
  12 29.1938 454.164 0.000785582
  13 31.0544 455.638 0.000625431
  14 32.915 441.614 0.000438423
  15 34.7757 444.624 0.000179414
  16 36.6363 450.658 -3.93296e-05
  17 38.4969 445.332 -0.000256708
  18 40.3576 444.644 -0.000499091
  19 42.2182 444.76 -0.00073765
  20 44.0788 446.94 -0.000982954
4800000 20 8980
  1 8.72689 450.732 -0.00125838
  2 10.5875 449.612 -0.000969085
  3 12.4481 448.022 -0.00076073
  4 14.3088 440.626 -0.00048862
  5 16.1694 447.084 -0.000251595
  6 18.03 444.98 3.49333e-05
  7 19.8907 448.688 0.000240259
  8 21.7513 450.372 0.000446048
  9 23.6119 463.14 0.00063133
  10 25.4725 456.77 0.000820418
  11 27.3332 462.992 0.00104448
  12 29.1938 451.808 0.00078951
  13 31.0544 450.932 0.000622798
  14 32.915 450.652 0.000412492
  15 34.7757 447.05 0.000221926
  16 36.6363 439.222 -4.77494e-05
  17 38.4969 446.056 -0.000265615
  18 40.3576 441.172 -0.000518883
  19 42.2182 447.47 -0.000747121
  20 44.0788 442.62 -0.000989016
4850000 20 8980
  1 8.72689 450.514 -0.00123959
  2 10.5875 447.014 -0.000960492
  3 12.4481 444.88 -0.000721827
  4 14.3088 443.748 -0.000450464
  5 16.1694 439.77 -0.00018893
  6 18.03 447.442 4.07059e-05
  7 19.8907 449.918 0.000260168
  8 21.7513 453.064 0.00043895
  9 23.6119 453.798 0.000605306
  10 25.4725 459.842 0.000747767
  11 27.3332 456.012 0.000999345
  12 29.1938 456.25 0.000774652
  13 31.0544 455.15 0.000585516
  14 32.915 453.964 0.000424669
  15 34.7757 444.954 0.000208617
  16 36.6363 446.61 -1.55318e-05
  17 38.4969 439.274 -0.000282581
  18 40.3576 451.656 -0.000490379
  19 42.2182 444.036 -0.000743791
  20 44.0788 442.104 -0.000972506
4900000 20 8980
  1 8.72689 445.47 -0.00122279
  2 10.5875 449.388 -0.000940082
  3 12.4481 443.35 -0.000707158
  4 14.3088 438.004 -0.00045693
  5 16.1694 444.248 -0.000234704
  6 18.03 447.318 3.67143e-06
  7 19.8907 453.672 0.000204896
  8 21.7513 443.546 0.000409589
  9 23.6119 452.36 0.000593049
  10 25.4725 456.22 0.000754156
  11 27.3332 463.626 0.000985983
  12 29.1938 451.312 0.000731677
  13 31.0544 459.408 0.00057059
  14 32.915 446.54 0.000392731
  15 34.7757 455.742 0.000216478
  16 36.6363 442.27 3.72188e-06
  17 38.4969 451.162 -0.000238414
  18 40.3576 448.658 -0.00044896
  19 42.2182 439.402 -0.000708811
  20 44.0788 448.304 -0.000954815
4950000 20 8980
  1 8.72689 452.89 -0.00119425
  2 10.5875 442.264 -0.000906179
  3 12.4481 449.252 -0.000709864
  4 14.3088 443.27 -0.000504651
  5 16.1694 452.16 -0.00025001
  6 18.03 445.3 -4.93766e-05
  7 19.8907 450.144 0.000190038
  8 21.7513 451.36 0.000388428
  9 23.6119 449.646 0.000597415
  10 25.4725 459.908 0.000755029
  11 27.3332 455.932 0.000986409
  12 29.1938 453.972 0.000752181
  13 31.0544 451.312 0.000573755
  14 32.915 452.148 0.000396977
  15 34.7757 451.418 0.000222156
  16 36.6363 436.15 -3.12459e-06
  17 38.4969 449.622 -0.000234677
