NaCl 100*14*6

8400 atoms

2 atom types

  -1.500000000    279.1900000  xlo xhi		#模拟盒子x尺寸
  -1.500000000    39.53000000  ylo yhi
  -1.500000000    16.05000000  zlo zhi
  
Masses		# 原子质量

1 22.9898	# Na
2 35.45		# Cl

Atoms		#原子编号 种类 x y z

162		1		1		112.4		2.81		2.81
163		1		1		115.21		0		2.81
164		1		1		115.21		2.81		0
165		2		-1		115.21		2.81		2.81
166		2		-1		115.21		0		0
167		2		-1		112.4		2.81		0
168		2		-1		112.4		0		2.81
169		1		1		118.02		0		0
170		1		1		118.02		2.81		2.81
171		1		1		120.83		0		2.81
172		1		1		120.83		2.81		0
173		2		-1		120.83		2.81		2.81
174		2		-1		120.83		0		0
175		2		-1		118.02		2.81		0
176		2		-1		118.02		0		2.81
177		1		1		123.64		0		0
178		1		1		123.64		2.81		2.81
179		1		1		126.45		0		2.81
180		1		1		126.45		2.81		0
181		2		-1		126.45		2.81		2.81
182		2		-1		126.45		0		0
183		2		-1		123.64		2.81		0
184		2		-1		123.64		0		2.81
185		1		1		129.26		0		0
186		1		1		129.26		2.81		2.81
187		1		1		132.07		0		2.81
188		1		1		132.07		2.81		0
189		2		-1		132.07		2.81		2.81
190		2		-1		132.07		0		0
191		2		-1		129.26		2.81		0
192		2		-1		129.26		0		2.81
193		1		1		134.88		0		0
194		1		1		134.88		2.81		2.81
195		1		1		137.69		0		2.81
196		1		1		137.69		2.81		0
197		2		-1		137.69		2.81		2.81
198		2		-1		137.69		0		0
199		2		-1		134.88		2.81		0
200		2		-1		134.88		0		2.81
201		1		1		140.5		0		0
202		1		1		140.5		2.81		2.81
203		1		1		143.31		0		2.81
204		1		1		143.31		2.81		0
205		2		-1		143.31		2.81		2.81
206		2		-1		143.31		0		0
207		2		-1		140.5		2.81		0
208		2		-1		140.5		0		2.81
209		1		1		146.12		0		0
210		1		1		146.12		2.81		2.81
211		1		1		148.93		0		2.81
212		1		1		148.93		2.81		0
213		2		-1		148.93		2.81		2.81
214		2		-1		148.93		0		0
215		2		-1		146.12		2.81		0
216		2		-1		146.12		0		2.81
217		1		1		151.74		0		0
218		1		1		151.74		2.81		2.81
219		1		1		154.55		0		2.81
220		1		1		154.55		2.81		0
221		2		-1		154.55		2.81		2.81
222		2		-1		154.55		0		0
223		2		-1		151.74		2.81		0
224		2		-1		151.74		0		2.81
225		1		1		157.36		0		0
226		1		1		157.36		2.81		2.81
227		1		1		160.17		0		2.81
228		1		1		160.17		2.81		0
229		2		-1		160.17		2.81		2.81
230		2		-1		160.17		0		0
231		2		-1		157.36		2.81		0
232		2		-1		157.36		0		2.81
233		1		1		162.98		0		0
234		1		1		162.98		2.81		2.81
235		1		1		165.79		0		2.81
236		1		1		165.79		2.81		0
237		2		-1		165.79		2.81		2.81
238		2		-1		165.79		0		0
239		2		-1		162.98		2.81		0
240		2		-1		162.98		0		2.81
241		1		1		168.6		0		0
