# Time-averaged data for fix totalE
# TimeStep v_Temp v_Etotal v_Enth
2795000 413.023 -3597.76 -3595.51
2800000 412.329 -3599.97 -3598.7
2805000 413.236 -3600.81 -3600.06
2810000 413.03 -3600.41 -3598.82
2815000 414.532 -3593.31 -3593.33
2820000 413.974 -3595.41 -3592.88
2825000 413.973 -3596.99 -3596.1
2830000 413.858 -3598.31 -3595.47
2835000 414.617 -3594.32 -3596.89
2840000 413.888 -3594.73 -3594.55
2845000 415.929 -3589.11 -3588.27
2850000 415.69 -3591.47 -3591.41
2855000 415.513 -3593.78 -3592.29
2860000 416.085 -3590.84 -3590.8
2865000 415.851 -3591.07 -3589.15
2870000 416.049 -3594.23 -3591.37
2875000 416.369 -3595.8 -3597.22
2880000 416.66 -3595.05 -3597.03
2885000 416.896 -3590.47 -3590.36
2890000 416.789 -3590.6 -3590.02
2895000 417.44 -3590.24 -3590.23
2900000 417.243 -3592.9 -3594.79
2905000 417.86 -3589.95 -3590.96
2910000 418.284 -3587.98 -3589.71
2915000 418.79 -3587.41 -3587.45
2920000 417.826 -3588.79 -3588.49
2925000 419.177 -3585.59 -3586.15
2930000 420.416 -3585.03 -3582.13
2935000 419.201 -3586.95 -3587.23
2940000 419.816 -3583.39 -3581.54
2945000 420.474 -3582.17 -3581.3
2950000 420.875 -3580.8 -3580.3
2955000 420.192 -3583.82 -3583.45
2960000 420.392 -3582.81 -3582.35
2965000 420.171 -3580.5 -3579.04
2970000 421.566 -3576.87 -3577.4
2975000 421.043 -3579.67 -3581.04
2980000 421.396 -3579.51 -3580.27
2985000 421.99 -3577.13 -3576.39
2990000 422.253 -3578.96 -3577.89
2995000 422.207 -3580.05 -3580.84
3000000 423.044 -3577.81 -3578.58
3005000 422.49 -3577.89 -3577.38
3010000 423.149 -3577.62 -3576.83
3015000 423.862 -3575.16 -3574.81
3020000 425.012 -3574.36 -3574.51
3025000 424.621 -3574.47 -3571.26
3030000 424.738 -3575.41 -3576.67
3035000 425.234 -3573.21 -3574.11
3040000 424 -3574.2 -3574.81
3045000 425.036 -3572.84 -3571.34
3050000 425.19 -3571.78 -3572.52
3055000 425.394 -3569.84 -3567.93
3060000 425.595 -3569 -3568.94
3065000 426.676 -3567.12 -3568.35
3070000 426.152 -3569.14 -3565.43
3075000 426.216 -3566.78 -3567.45
3080000 426.596 -3566.17 -3568.24
3085000 426.216 -3567.65 -3565.37
3090000 427.59 -3562.31 -3559.51
3095000 426.839 -3562.48 -3562.16
3100000 427.804 -3560.11 -3560.11
3105000 428.125 -3559.9 -3561.88
3110000 427.898 -3559.08 -3559.18
3115000 429.397 -3555.95 -3554.08
3120000 429.271 -3556.6 -3557.42
3125000 429.452 -3555.88 -3555.88
3130000 429.281 -3554.12 -3552.66
3135000 429.856 -3552.3 -3552.3
3140000 430.194 -3554.2 -3553.01
3145000 430.663 -3550.12 -3551.59
3150000 430.374 -3549.87 -3546.61
3155000 430.563 -3549.59 -3549.22
3160000 431.817 -3549.36 -3549.48
3165000 430.97 -3552.38 -3551.61
3170000 431.018 -3551.29 -3549.35
3175000 431.491 -3552.13 -3554.24
3180000 431.164 -3554.58 -3556.24
3185000 432.45 -3552.74 -3549.79
3190000 432.942 -3551.56 -3551.23
3195000 432.846 -3551.11 -3552.11
3200000 433.153 -3549.86 -3548.78
3205000 432.997 -3550.06 -3550.73
3210000 432.785 -3550.16 -3549.45
3215000 434.232 -3547.13 -3546.81
3220000 433.832 -3546.15 -3544.02
3225000 434.418 -3543.94 -3546.12
3230000 434.622 -3544.13 -3542.34
